"Url","Status","Ok","FinalUrl","Message"
"http://127.0.0.1:5000/","200","True","http://127.0.0.1:5000/","OK"
"http://127.0.0.1:5000/api/platform/action-assurance/check/demo","200","True","http://127.0.0.1:5000/api/platform/action-assurance/check/demo","OK"
"http://127.0.0.1:5000/api/platform/action-assurance/readiness/demo","200","True","http://127.0.0.1:5000/api/platform/action-assurance/readiness/demo","OK"
"http://127.0.0.1:5000/api/platform/action-assurance/stage/demo?stage_id=authority","404","False","http://127.0.0.1:5000/api/platform/action-assurance/stage/demo?stage_id=authority","The remote server returned an error: (404) Not Found."
"http://127.0.0.1:5000/api/platform/action-assurance/workflow/demo","200","True","http://127.0.0.1:5000/api/platform/action-assurance/workflow/demo","OK"
"http://127.0.0.1:5000/api/platform/agentic-action/check/demo?action_id=ACT-RBAC-CHANGE-001","404","False","http://127.0.0.1:5000/api/platform/agentic-action/check/demo?action_id=ACT-RBAC-CHANGE-001","The remote server returned an error: (404) Not Found."
"http://127.0.0.1:5000/api/platform/agentic-action/flow/demo","200","True","http://127.0.0.1:5000/api/platform/agentic-action/flow/demo","OK"
"http://127.0.0.1:5000/api/platform/agentic-action/readiness/demo","200","True","http://127.0.0.1:5000/api/platform/agentic-action/readiness/demo","OK"
"http://127.0.0.1:5000/api/platform/agentic-action/stage/demo?stage_id=authority","404","False","http://127.0.0.1:5000/api/platform/agentic-action/stage/demo?stage_id=authority","The remote server returned an error: (404) Not Found."
"http://127.0.0.1:5000/api/platform/ai-accountability-raci/assessment/demo","200","True","http://127.0.0.1:5000/api/platform/ai-accountability-raci/assessment/demo","OK"
"http://127.0.0.1:5000/api/platform/ai-accountability-raci/model/demo","200","True","http://127.0.0.1:5000/api/platform/ai-accountability-raci/model/demo","OK"
"http://127.0.0.1:5000/api/platform/ai-accountability-raci/readiness/demo","200","True","http://127.0.0.1:5000/api/platform/ai-accountability-raci/readiness/demo","OK"
"http://127.0.0.1:5000/api/platform/ai-accountability-raci/stage/demo?stage_id=decision_rights_accountability","404","False","http://127.0.0.1:5000/api/platform/ai-accountability-raci/stage/demo?stage_id=decision_rights_accountability","The remote server returned an error: (404) Not Found."
"http://127.0.0.1:5000/api/platform/ai-accountability-raci/stage/demo?stage_id=evidence_contract_accountability","404","False","http://127.0.0.1:5000/api/platform/ai-accountability-raci/stage/demo?stage_id=evidence_contract_accountability","The remote server returned an error: (404) Not Found."
"http://127.0.0.1:5000/api/platform/ai-architecture-assurance/boundary/demo?boundary_id=autonomy_assurance","404","False","http://127.0.0.1:5000/api/platform/ai-architecture-assurance/boundary/demo?boundary_id=autonomy_assurance","The remote server returned an error: (404) Not Found."
"http://127.0.0.1:5000/api/platform/ai-architecture-assurance/boundary/demo?boundary_id=evidence_assurance","404","False","http://127.0.0.1:5000/api/platform/ai-architecture-assurance/boundary/demo?boundary_id=evidence_assurance","The remote server returned an error: (404) Not Found."
"http://127.0.0.1:5000/api/platform/ai-architecture-assurance/boundary/demo?boundary_id=knowledge_assurance","404","False","http://127.0.0.1:5000/api/platform/ai-architecture-assurance/boundary/demo?boundary_id=knowledge_assurance","The remote server returned an error: (404) Not Found."
"http://127.0.0.1:5000/api/platform/ai-architecture-assurance/boundary/demo?boundary_id=tool_assurance","404","False","http://127.0.0.1:5000/api/platform/ai-architecture-assurance/boundary/demo?boundary_id=tool_assurance","The remote server returned an error: (404) Not Found."
"http://127.0.0.1:5000/api/platform/ai-architecture-assurance/model/demo","200","True","http://127.0.0.1:5000/api/platform/ai-architecture-assurance/model/demo","OK"
"http://127.0.0.1:5000/api/platform/ai-architecture-assurance/readiness/demo","200","True","http://127.0.0.1:5000/api/platform/ai-architecture-assurance/readiness/demo","OK"
"http://127.0.0.1:5000/api/platform/ai-architecture-assurance/workflow/demo","200","True","http://127.0.0.1:5000/api/platform/ai-architecture-assurance/workflow/demo","OK"
